ArtistId,Name,Album,Artist,ReleasedDate,AddedAt,DurationMS,Popularity,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo
7gRH7pJQJaAvrwvi8STYEl,Beacon,Beacon,Matt Duncan,2010-05-01,2022-12-07T03:16:53Z,214360,57,0.415,0.716,0.454,0.000223,0.076,-7.367,0.0391,86.002
4XC335ouK6pXyq4QiIb8bP,B.O.T.A. (Baddest Of Them All) - Edit,B.O.T.A. (Baddest Of Them All),Eliza Rose,2022-08-12,2022-12-17T05:21:44Z,226626,85,0.164,0.736,0.906,0.585,0.106,-7.589,0.048,137.001
4q3ewBCX7sLwd24euuV69X,Aguacero,Un Verano Sin Ti,Bad Bunny,2022-05-06,2022-12-18T06:33:01Z,210989,81,0.423,0.861,0.645,0.000592,0.349,-6.96,0.0743,121.391
3UP83Ekm9Jse6j0dWZJlH9,A Dónde Vamos?,A Dónde Vamos?,Dromedarios Mágicos,2020-10-29,2022-12-21T22:35:30Z,202230,48,0.0318,0.58,0.638,0.0,0.288,-9.846,0.0299,132.072
4syvKWgnIigkaQdgF4NNZM,Flota Flota,Flota Flota,Gativideo,2019-06-07,2022-12-22T20:25:23Z,221398,33,0.139,0.81,0.582,0.024,0.208,-9.1,0.0431,130.028
7KQCUauVB5CLGrJwq2JoVd,EME,EME,MIEL,2021-07-28,2022-12-24T03:24:24Z,191213,44,0.0679,0.766,0.631,0.00366,0.091,-6.765,0.0408,118.025
0O1UtbTe4ca7HabaiMhYZ7,killer tune kills me,cherish,KIRINJI,2019-11-20,2022-12-24T15:30:07Z,250600,54,0.399,0.787,0.414,0.587,0.14,-8.745,0.0379,104.999
0pF1TxZmwCJ3gGpkBQwdtT,Ausencia,Flore,Gabriel Rios,2021-02-12,2022-12-24T23:22:26Z,244106,22,0.911,0.688,0.209,0.0138,0.155,-11.728,0.0675,94.061
587PA35pRGL1JwQr6idJbb,Tell Me,Tell Me,NEIL FRANCES,2020-04-24,2022-12-25T03:38:43Z,198000,60,0.119,0.83,0.532,0.00114,0.112,-10.855,0.0409,120.046
4PwlsrN0t5mLN0C827cbEU,Anomalie bleue,Tako Tsubo,L'Impératrice,2021-03-26,2022-12-26T00:32:56Z,232178,52,0.324,0.849,0.378,0.583,0.293,-11.972,0.0455,116.998
4ClXiGv8w47iekyGEmtAyy,Making Movements,Cabin Fever Dreams,RALPH TV,2020-03-27,2022-12-26T02:46:37Z,170000,37,0.292,0.66,0.555,0.291,0.103,-9.603,0.0323,77.019
23KIrX6iPiVOkx60F4bjNq,HIT EM WHERE IT HURTS,HIT EM WHERE IT HURTS,PawPaw Rod,2020-09-18,2022-12-29T03:38:48Z,165499,64,0.122,0.779,0.721,0.00252,0.0765,-6.371,0.214,178.046
3ZwhWiGw3XTJThOjEmuFAT,Keep Kool,Keep Kool,Winona Forever,2017-08-18,2022-12-29T13:38:49Z,144018,51,0.067,0.726,0.654,0.747,0.0981,-7.664,0.0396,114.312
4tZwfgrHOc3mvqYlEYSvVi,Crescendolls,Discovery,Daft Punk,2001-03-12,2023-01-01T13:01:15Z,211640,56,0.0035,0.697,0.75,0.922,0.0889,-8.503,0.0721,124.048
4tZwfgrHOc3mvqYlEYSvVi,Crescendolls,Discovery,Daft Punk,2001-03-12,2023-01-01T13:06:44Z,211640,56,0.0035,0.697,0.75,0.922,0.0889,-8.503,0.0721,124.048
4tZwfgrHOc3mvqYlEYSvVi,Musique,Da Funk,Daft Punk,1995,2023-01-01T18:57:00Z,413600,45,0.00164,0.821,0.885,0.848,0.0851,-6.996,0.0811,117.206
4tZwfgrHOc3mvqYlEYSvVi,Revolution 909,Homework,Daft Punk,1997-01-17,2023-01-01T18:59:39Z,335026,57,0.0265,0.745,0.716,0.846,0.246,-7.918,0.136,126.527
4tZwfgrHOc3mvqYlEYSvVi,Fresh,Homework,Daft Punk,1997-01-17,2023-01-01T19:04:30Z,244400,50,0.268,0.503,0.952,0.272,0.875,-9.308,0.572,126.345
4tZwfgrHOc3mvqYlEYSvVi,High Fidelity,Homework,Daft Punk,1997-01-17,2023-01-01T19:13:42Z,362466,42,0.000996,0.799,0.66,0.446,0.313,-8.829,0.175,125.909
4tZwfgrHOc3mvqYlEYSvVi,Alive,Homework,Daft Punk,1997-01-17,2023-01-01T19:21:12Z,316253,48,5.42e-05,0.723,0.716,0.905,0.072,-6.407,0.0437,128.701
4tZwfgrHOc3mvqYlEYSvVi,Superheroes,Discovery,Daft Punk,2001-03-12,2023-01-01T20:58:06Z,237800,55,0.00409,0.619,0.74,0.00356,0.102,-8.204,0.0789,140.874
4tZwfgrHOc3mvqYlEYSvVi,Something About Us,Discovery,Daft Punk,2001-03-12,2023-01-01T20:58:25Z,232666,70,0.44,0.875,0.475,0.72,0.046,-12.673,0.0986,99.958
4tZwfgrHOc3mvqYlEYSvVi,Voyager,Discovery,Daft Punk,2001-03-12,2023-01-01T20:58:31Z,227866,63,0.288,0.669,0.743,0.805,0.309,-11.488,0.0494,119.881
4tZwfgrHOc3mvqYlEYSvVi,Short Circuit,Discovery,Daft Punk,2001-03-12,2023-01-01T20:59:23Z,206866,54,0.00461,0.535,0.558,0.824,0.0821,-10.756,0.0741,109.69
4tZwfgrHOc3mvqYlEYSvVi,Face to Face,Discovery,Daft Punk,2001-03-12,2023-01-01T20:59:30Z,240173,63,0.00134,0.874,0.437,0.0296,0.0293,-10.235,0.0708,117.791
4DMSJzGjw2SMkKAT5EEE5u,VOL 1 ITEM 9,"Pareidolia Catalog, Vols. 1-4",HOMESHAKE,2022-08-26,2023-01-02T01:35:15Z,102500,24,0.987,0.252,0.0426,0.89,0.105,-26.659,0.036,82.166
4DMSJzGjw2SMkKAT5EEE5u,VOL 4 ITEM 48,"Pareidolia Catalog, Vols. 1-4",HOMESHAKE,2022-08-26,2023-01-04T13:23:33Z,81176,18,0.984,0.803,0.0341,0.936,0.104,-25.967,0.0433,119.729
6EHS9kZ9PpeXaJ4wZO3FSX,Dorkiest Jam Since Dawn of Time,Zlaty Sauce Nephew,Salami Rose Joe Louis,2017-04-17,2023-01-04T20:10:05Z,141600,46,0.658,0.8,0.348,0.417,0.11,-16.851,0.131,95.005
4DMSJzGjw2SMkKAT5EEE5u,VOL 1 ITEM 2,"Pareidolia Catalog, Vols. 1-4",HOMESHAKE,2022-08-26,2023-01-04T22:29:47Z,108657,31,0.972,0.436,0.0321,0.915,0.111,-25.675,0.0496,127.941
